nounsAllCount,nounsAllIndex
"('제대로', 315)","('제대로', 639)"
"('김포공항', 314)","('김포공항', 640)"
"('구월', 311)","('구월', 641)"
"('십팔', 310)","('십팔', 642)"
"('하하', 309)","('하하', 643)"
"('팔팔', 309)","('팔팔', 644)"
"('사십오분', 308)","('사십오분', 645)"
"('십사일', 307)","('십사일', 646)"
"('십만', 306)","('십만', 647)"
"('회사', 306)","('회사', 648)"
"('합산', 306)","('합산', 649)"
"('약간', 304)","('약간', 650)"
"('구번', 304)","('구번', 651)"
"('서은', 304)","('서은', 652)"
"('오십오분', 304)","('오십오분', 653)"
"('목요일', 302)","('목요일', 654)"
"('관리', 302)","('관리', 655)"
"('이십칠일', 301)","('이십칠일', 656)"
"('유엔', 301)","('유엔', 657)"
"('문명', 301)","('문명', 658)"
"('여객', 300)","('여객', 659)"
"('삼구', 300)","('삼구', 660)"
"('뭔가', 300)","('뭔가', 661)"
"('올해', 299)","('올해', 662)"
"('한글', 298)","('한글', 663)"
"('오월', 296)","('오월', 664)"
"('라운지', 296)","('라운지', 665)"
"('육육', 295)","('육육', 666)"
"('마케팅', 294)","('마케팅', 667)"
"('선글라스', 294)","('선글라스', 668)"
"('구시', 293)","('구시', 669)"
"('육십일', 292)","('육십일', 670)"
"('기재', 292)","('기재', 671)"
"('아시아나', 292)","('아시아나', 672)"
"('별도', 292)","('별도', 673)"
"('국가', 292)","('국가', 674)"
"('색상', 291)","('색상', 675)"
"('일본', 291)","('일본', 676)"
"('점용', 290)","('점용', 677)"
"('발생', 290)","('발생', 678)"
"('청첩장', 290)","('청첩장', 679)"
"('영어', 289)","('영어', 680)"
"('육구', 288)","('육구', 681)"
"('전환', 286)","('전환', 682)"
"('운항', 286)","('운항', 683)"
"('무료', 285)","('무료', 684)"
"('일팔', 284)","('일팔', 685)"
"('오늘이', 284)","('오늘이', 686)"
"('외국인', 284)","('외국인', 687)"
"('보기', 283)","('보기', 688)"
"('어머니', 283)","('어머니', 689)"
