nounsAllCount,nounsAllIndex
{'자꾸': 497},{'자꾸': 479}
{'사월': 497},{'사월': 480}
{'오번': 496},{'오번': 481}
{'아무': 491},{'아무': 482}
{'삼사': 491},{'삼사': 483}
{'원본': 489},{'원본': 484}
{'표시': 488},{'표시': 485}
{'오분': 487},{'오분': 486}
{'미인도': 484},{'미인도': 487}
{'직항': 484},{'직항': 488}
{'제주도': 482},{'제주도': 489}
{'품목': 481},{'품목': 490}
{'최근': 481},{'최근': 491}
{'선불': 481},{'선불': 492}
{'우리': 478},{'우리': 493}
{'택배': 478},{'택배': 494}
{'배럴': 477},{'배럴': 495}
{'전이': 471},{'전이': 496}
{'계세': 471},{'계세': 497}
{'신규': 471},{'신규': 498}
{'한미': 470},{'한미': 499}
{'철회': 470},{'철회': 500}
{'불편': 469},{'불편': 501}
{'입금': 468},{'입금': 502}
{'어차피': 466},{'어차피': 503}
{'가야': 463},{'가야': 504}
{'일삼': 463},{'일삼': 505}
{'삼십일': 462},{'삼십일': 506}
{'한가지': 454},{'한가지': 507}
{'이형주': 454},{'이형주': 508}
{'삼월': 453},{'삼월': 509}
{'삼십일일': 452},{'삼십일일': 510}
{'각각': 452},{'각각': 511}
{'그이': 451},{'그이': 512}
{'구일': 451},{'구일': 513}
{'김혜미': 450},{'김혜미': 514}
{'음음음': 447},{'음음음': 515}
{'마지막': 447},{'마지막': 516}
{'차이': 446},{'차이': 517}
{'사일': 445},{'사일': 518}
{'최은미': 441},{'최은미': 519}
{'사본': 441},{'사본': 520}
{'거의': 439},{'거의': 521}
{'지급': 439},{'지급': 522}
{'거부': 439},{'거부': 523}
{'박스': 435},{'박스': 524}
{'오십': 435},{'오십': 525}
{'이십분': 434},{'이십분': 526}
{'수량': 433},{'수량': 527}
{'영업': 432},{'영업': 528}
{'항공권': 432},{'항공권': 529}
{'비번': 431},{'비번': 530}
{'철수': 430},{'철수': 531}
{'이유': 426},{'이유': 532}
{'남편': 426},{'남편': 533}
{'샤넬': 424},{'샤넬': 534}
{'구년': 423},{'구년': 535}
{'에프': 423},{'에프': 536}
{'예약': 422},{'예약': 537}
{'군데': 417},{'군데': 538}
{'금요일': 416},{'금요일': 539}
{'구찌': 415},{'구찌': 540}
{'지역': 413},{'지역': 541}
{'담당자': 412},{'담당자': 542}
{'칠구': 411},{'칠구': 543}
{'향수': 410},{'향수': 544}
{'실례': 410},{'실례': 545}
{'토요일': 410},{'토요일': 546}
{'십일일': 408},{'십일일': 547}
{'오픈': 408},{'오픈': 548}
{'오만원': 407},{'오만원': 549}
{'년도': 405},{'년도': 550}
{'이십오': 405},{'이십오': 551}
{'실물': 404},{'실물': 552}
{'김은영': 404},{'김은영': 553}
{'유지': 404},{'유지': 554}
{'필요': 400},{'필요': 555}
{'하라': 400},{'하라': 556}
{'대표': 398},{'대표': 557}
{'불가': 398},{'불가': 558}
{'국민카드': 397},{'국민카드': 559}
{'메시지': 397},{'메시지': 560}
{'십오분': 397},{'십오분': 561}
{'삼공': 396},{'삼공': 562}
{'나윤': 395},{'나윤': 563}
{'일시': 394},{'일시': 564}
{'현대': 393},{'현대': 565}
{'케이티': 393},{'케이티': 566}
{'초과': 392},{'초과': 567}
{'중간': 392},{'중간': 568}
{'국제선': 392},{'국제선': 569}
{'사고': 389},{'사고': 570}
{'종료': 385},{'종료': 571}
{'십육일': 385},{'십육일': 572}
{'십삼일': 385},{'십삼일': 573}
{'가면': 384},{'가면': 574}
{'동안': 384},{'동안': 575}
{'건만': 383},{'건만': 576}
{'타고': 378},{'타고': 577}
{'오시': 378},{'오시': 578}
{'절차': 375},{'절차': 579}
{'엄마': 375},{'엄마': 580}
{'골뱅이': 374},{'골뱅이': 581}
{'임미경': 374},{'임미경': 582}
{'에스티': 372},{'에스티': 583}
{'나가시': 371},{'나가시': 584}
{'김재': 366},{'김재': 585}
{'일대일': 365},{'일대일': 586}
{'이십육일': 364},{'이십육일': 587}
{'대구': 363},{'대구': 588}
{'참여': 363},{'참여': 589}
{'시스템': 363},{'시스템': 590}
{'옛날': 362},{'옛날': 591}
{'대한항공': 361},{'대한항공': 592}
{'이십이일': 361},{'이십이일': 593}
{'마감': 360},{'마감': 594}
{'삼만': 359},{'삼만': 595}
{'이월': 359},{'이월': 596}
{'일요일': 359},{'일요일': 597}
{'십팔일': 357},{'십팔일': 598}
{'엠에스': 356},{'엠에스': 599}
{'정관': 355},{'정관': 600}
{'단위': 355},{'단위': 601}
{'신한': 355},{'신한': 602}
{'블랙': 354},{'블랙': 603}
{'가장': 349},{'가장': 604}
{'선정': 348},{'선정': 605}
{'사공': 348},{'사공': 606}
{'한시': 347},{'한시': 607}
{'신용': 347},{'신용': 608}
{'기프트': 345},{'기프트': 609}
{'십오일': 345},{'십오일': 610}
{'설명': 342},{'설명': 611}
{'중국어': 342},{'중국어': 612}
{'로만': 341},{'로만': 613}
{'건강': 338},{'건강': 614}
{'저번': 336},{'저번': 615}
{'둘둘': 336},{'둘둘': 616}
{'나라': 336},{'나라': 617}
{'김포': 334},{'김포': 618}
{'루이비통': 333},{'루이비통': 619}
{'출력': 333},{'출력': 620}
{'다운로드': 332},{'다운로드': 621}
{'십칠일': 329},{'십칠일': 622}
{'무조건': 328},{'무조건': 623}
{'스마트': 328},{'스마트': 624}
{'코너': 327},{'코너': 625}
{'아홉시': 327},{'아홉시': 626}
{'주입': 325},{'주입': 627}
{'소지': 324},{'소지': 628}
{'여행사': 324},{'여행사': 629}
{'사면': 323},{'사면': 630}
{'칠칠': 323},{'칠칠': 631}
{'이틀': 323},{'이틀': 632}
{'여유': 321},{'여유': 633}
{'사실': 321},{'사실': 634}
{'업체': 321},{'업체': 635}
{'관계': 321},{'관계': 636}
{'오이': 320},{'오이': 637}
{'신화': 318},{'신화': 638}
{'컴퓨터': 316},{'컴퓨터': 639}
{'십이일': 316},{'십이일': 640}
{'일치': 316},{'일치': 641}
{'제대로': 315},{'제대로': 642}
{'김포공항': 314},{'김포공항': 643}
{'구월': 311},{'구월': 644}
{'십팔': 310},{'십팔': 645}
{'하하': 309},{'하하': 646}
{'팔팔': 309},{'팔팔': 647}
{'사십오분': 308},{'사십오분': 648}
{'십사일': 307},{'십사일': 649}
{'십만': 306},{'십만': 650}
{'회사': 306},{'회사': 651}
{'합산': 306},{'합산': 652}
{'약간': 304},{'약간': 653}
{'구번': 304},{'구번': 654}
{'서은': 304},{'서은': 655}
{'오십오분': 304},{'오십오분': 656}
{'목요일': 302},{'목요일': 657}
{'관리': 302},{'관리': 658}
{'이십칠일': 301},{'이십칠일': 659}
{'유엔': 301},{'유엔': 660}
{'문명': 301},{'문명': 661}
{'여객': 300},{'여객': 662}
{'삼구': 300},{'삼구': 663}
{'뭔가': 300},{'뭔가': 664}
{'올해': 299},{'올해': 665}
{'한글': 298},{'한글': 666}
{'오월': 296},{'오월': 667}
{'라운지': 296},{'라운지': 668}
{'육육': 295},{'육육': 669}
{'마케팅': 294},{'마케팅': 670}
{'선글라스': 294},{'선글라스': 671}
{'구시': 293},{'구시': 672}
{'육십일': 292},{'육십일': 673}
{'기재': 292},{'기재': 674}
{'아시아나': 292},{'아시아나': 675}
{'별도': 292},{'별도': 676}
{'국가': 292},{'국가': 677}
{'색상': 291},{'색상': 678}
{'일본': 291},{'일본': 679}
{'점용': 290},{'점용': 680}
{'발생': 290},{'발생': 681}
{'청첩장': 290},{'청첩장': 682}
{'영어': 289},{'영어': 683}
{'육구': 288},{'육구': 684}
{'전환': 286},{'전환': 685}
{'운항': 286},{'운항': 686}
{'무료': 285},{'무료': 687}
{'일팔': 284},{'일팔': 688}
{'오늘이': 284},{'오늘이': 689}
{'외국인': 284},{'외국인': 690}
{'보기': 283},{'보기': 691}
{'어머니': 283},{'어머니': 692}
{'아래': 283},{'아래': 693}
{'부두': 282},{'부두': 694}
{'구십일': 281},{'구십일': 695}
{'친구': 281},{'친구': 696}
{'쓰시': 281},{'쓰시': 697}
{'알파벳': 281},{'알파벳': 698}
{'다가': 280},{'다가': 699}
{'이력': 279},{'이력': 700}
{'공동': 279},{'공동': 701}
{'원칙': 278},{'원칙': 702}
{'세금': 278},{'세금': 703}
{'이십구일': 277},{'이십구일': 704}
{'오른쪽': 277},{'오른쪽': 705}
{'대신': 277},{'대신': 706}
{'에스케이': 276},{'에스케이': 707}
{'이십삼일': 276},{'이십삼일': 708}
{'이사': 275},{'이사': 709}
{'이치': 274},{'이치': 710}
{'경품': 274},{'경품': 711}
{'정이': 273},{'정이': 712}
{'얼마나': 273},{'얼마나': 713}
{'에어': 273},{'에어': 714}
{'통신사': 272},{'통신사': 715}
{'패션': 271},{'패션': 716}
{'일일이': 271},{'일일이': 717}
{'사시': 271},{'사시': 718}
{'담당': 270},{'담당': 719}
{'스케줄': 269},{'스케줄': 720}
{'칠월': 268},{'칠월': 721}
{'육사': 268},{'육사': 722}
